13:25:01.089 -> Humidity: 56.00 %, Temp: 19.20 Celsius
13:25:02.901 -> Humidity: 56.00 %, Temp: 19.20 Celsius
13:25:04.916 -> Humidity: 56.00 %, Temp: 19.10 Celsius
13:25:06.931 -> Humidity: 94.00 %, Temp: 21.70 Celsius
13:25:08.993 -> Humidity: 95.00 %, Temp: 22.30 Celsius
13:25:11.008 -> Humidity: 95.00 %, Temp: 22.80 Celsius
13:25:13.023 -> Humidity: 95.00 %, Temp: 23.00 Celsius
13:25:15.085 -> Humidity: 95.00 %, Temp: 23.00 Celsius
13:25:17.100 -> Humidity: 95.00 %, Temp: 22.90 Celsius
13:25:19.115 -> Humidity: 95.00 %, Temp: 22.80 Celsius
13:25:21.176 -> Humidity: 95.00 %, Temp: 22.60 Celsius
13:25:23.191 -> Humidity: 95.00 %, Temp: 22.50 Celsius
13:25:25.206 -> Humidity: 95.00 %, Temp: 22.30 Celsius
13:25:27.221 -> Humidity: 95.00 %, Temp: 22.10 Celsius
13:25:29.283 -> Humidity: 94.00 %, Temp: 21.90 Celsius
13:25:31.298 -> Humidity: 94.00 %, Temp: 21.80 Celsius
13:25:33.313 -> Humidity: 94.00 %, Temp: 21.60 Celsius
13:25:35.375 -> Humidity: 94.00 %, Temp: 21.50 Celsius
13:25:37.390 -> Humidity: 94.00 %, Temp: 21.30 Celsius
13:25:39.404 -> Humidity: 94.00 %, Temp: 21.10 Celsius
13:25:41.466 -> Humidity: 94.00 %, Temp: 21.00 Celsius
13:25:43.482 -> Humidity: 94.00 %, Temp: 21.00 Celsius
13:25:45.517 -> Humidity: 93.00 %, Temp: 20.90 Celsius
13:25:47.532 -> Humidity: 93.00 %, Temp: 20.80 Celsius
13:25:49.547 -> Humidity: 93.00 %, Temp: 20.70 Celsius
13:25:51.640 -> Humidity: 93.00 %, Temp: 20.50 Celsius
13:25:53.622 -> Humidity: 93.00 %, Temp: 20.50 Celsius
13:25:55.638 -> Humidity: 93.00 %, Temp: 20.30 Celsius
13:25:57.700 -> Humidity: 93.00 %, Temp: 20.20 Celsius
13:25:59.714 -> Humidity: 93.00 %, Temp: 20.20 Celsius
